City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,altar,30.7,-111.8167,36.37,5,0,2.97,MX,1749490683
259,illizi,26.4833,8.4667,37.13,15,8,4.13,DZ,1749490684
260,stephenville,32.2207,-98.2023,28.07,58,0,6.69,US,1749490685
261,cooma,-36.2333,149.1333,2.65,88,100,5.19,AU,1749490686
262,saint-pierre,-21.3393,55.4781,20.82,68,0,2.57,RE,1749490687
263,botshabelo,-29.2702,26.7052,2.23,91,79,3.55,ZA,1749490688
264,novyy urengoy,66.0833,76.6333,14.78,86,45,3.08,RU,1749490689
265,nyurba,63.2842,118.3319,11.75,68,0,1.54,RU,1749490690
266,hasaki,35.7333,140.8333,19.55,95,100,1.69,JP,1749490691
267,uturoa,-16.7333,-151.4333,26.65,74,2,2.03,PF,1749490693
268,sinan,34.8262,126.1086,17.88,91,59,1.61,KR,1749490694
269,yuzhno-kurilsk,44.0306,145.8556,10.9,88,0,3.5,RU,1749490695
270,kailua-kona,19.6406,-155.9956,23.64,95,37,0.45,US,1749490696
271,lashio,22.9333,97.75,20.25,96,100,0.39,MM,1749490697
272,guerrero negro,27.9769,-114.0611,20.39,68,77,8.41,MX,1749490698
273,lakatoro,-16.0999,167.4164,23.99,85,100,2.97,VU,1749490699
274,bage,-31.3314,-54.1069,10.88,66,75,3.09,BR,1749490700
275,joal-fadiout,14.1667,-16.8333,26.82,66,45,9.96,SN,1749490702
276,sao tome,0.3365,6.7273,28.02,74,40,8.23,ST,1749490704
277,cartagena del chaira,1.3349,-74.8429,25.63,68,81,0.45,CO,1749490705
278,kijang,35.2442,129.2139,18.85,94,97,2.24,KR,1749490706
279,anadyr,64.75,177.4833,4.28,93,75,5.0,RU,1749490598
280,navia,43.5354,-6.7194,21.45,80,50,2.63,ES,1749490708
281,salacgriva,57.7536,24.3581,11.22,89,100,10.78,LV,1749490709
282,belmonte,-15.8631,-38.8828,26.62,64,80,4.32,BR,1749490711
283,puerto armuelles,8.2833,-82.8667,26.16,87,100,1.79,PA,1749490712
284,sargatskoye,55.6101,73.4972,14.18,82,7,1.41,RU,1749490713
285,longyearbyen,78.2186,15.6401,5.91,65,20,5.66,SJ,1749490561
286,alice springs,-23.7,133.8833,4.75,93,20,2.06,AU,1749490715
287,moussoro,13.6408,16.4901,38.49,9,8,2.45,TD,1749490717
288,rio grande,-32.035,-52.0986,14.3,58,24,4.63,BR,1749490718
289,kununurra,-15.7667,128.7333,18.99,39,4,3.6,AU,1749490719
290,moyale,3.5167,39.0584,22.17,65,30,3.36,KE,1749490721
291,bikenibeu village,1.3673,173.1241,26.98,89,75,2.57,KI,1749490722
292,jeddah,21.5169,39.2192,32.92,46,0,5.66,SA,1749490723
293,manohar thana,24.24,76.8018,36.82,16,2,2.95,IN,1749490724
294,quatre cocos,-20.2078,57.7625,23.94,66,59,11.07,MU,1749490725
295,beira,-19.8436,34.8389,25.05,73,0,4.12,MZ,1749490726
296,porto murtinho,-21.6989,-57.8825,22.87,34,11,3.82,BR,1749490727
297,reyes,-14.3167,-67.3833,20.09,94,100,3.09,BO,1749490728
298,walvis bay,-22.9575,14.5053,17.0,44,81,10.18,NA,1749490729
299,monrovia,6.3005,-10.7969,27.47,77,98,2.76,LR,1749490658
300,laascaanood,8.4774,47.3597,30.72,36,71,10.58,SO,1749490732
301,el granada,37.5027,-122.4694,20.24,78,75,5.66,US,1749490733
302,nishinoomote,30.7333,131.0,25.35,89,97,6.35,JP,1749490734
303,ketchikan,55.3422,-131.6461,11.3,74,75,2.24,US,1749490735
304,kalmunai,7.4167,81.8167,27.89,72,100,2.61,LK,1749490736
305,inhambane,-23.865,35.3833,24.99,94,20,6.17,MZ,1749490737
306,ghat,24.9647,10.1728,30.71,28,46,4.61,LY,1749490738
307,arkhangel'sk,64.5401,40.5433,16.06,72,40,3.0,RU,1749490588
308,sisimiut,66.9395,-53.6735,7.45,54,3,4.12,GL,1749490742
309,padang,-0.9492,100.3543,25.04,87,51,1.71,ID,1749490743
310,island harbour,50.724,-1.2758,18.04,72,80,1.34,GB,1749490744
311,mirny,62.5353,113.9611,12.54,53,0,1.51,RU,1749490745
312,bodo,67.28,14.405,11.36,87,75,4.63,NO,1749490486
313,palikir - national government center,6.9248,158.1611,25.41,89,20,1.54,FM,1749490747
314,nagqu,31.5,92.0,4.42,32,49,1.29,CN,1749490748
315,soeng sang,14.4264,102.4606,27.71,92,22,3.36,TH,1749490749
316,carnarvon,-24.8667,113.6333,21.35,49,0,3.1,AU,1749490751
317,ngaoundere,7.3167,13.5833,21.17,85,97,0.95,CM,1749490753
318,bowen,-20.0167,148.2333,14.98,56,5,3.69,AU,1749490754
319,al ain city,24.1917,55.7606,36.79,23,31,4.12,AE,1749490755
320,geraldton,-28.7667,114.6,12.23,71,17,6.69,AU,1749490756
321,esenler,41.0435,28.8762,22.79,64,0,7.2,TR,1749490757
322,kruisfontein,-34.0033,24.7314,12.87,84,98,5.54,ZA,1749490758
323,bukama,-9.2,25.85,25.87,43,14,1.21,CD,1749490759
324,panjab,34.388,67.0233,11.23,32,68,0.92,AF,1749490760
325,flin flon,54.7682,-101.865,19.91,34,9,0.86,CA,1749490761
326,petatlan,17.5167,-101.2667,31.89,58,100,3.19,MX,1749490764
327,alesund,62.4723,6.1549,12.96,71,40,4.63,NO,1749490765
328,atbasar,51.8,68.3333,15.44,64,0,3.69,KZ,1749490767
329,kristiansund,63.1115,7.732,10.36,62,40,5.66,NO,1749490768
330,goundam,16.4145,-3.6708,42.39,12,12,2.42,ML,1749490769
331,oranjemund,-28.55,16.4333,13.0,85,0,5.85,NA,1749490770
332,sandwich,41.6459,-88.6217,21.81,59,75,7.72,US,1749490771
333,ganye,8.4333,12.0667,25.25,75,88,2.84,NG,1749490772
334,hithadhoo,-0.6,73.0833,28.94,73,97,6.71,MV,1749490774
335,ulaangom,49.9811,92.0667,18.53,57,90,3.96,MN,1749490775
336,sitangkai,4.6628,119.3928,28.29,78,77,3.22,PH,1749490776
337,oqtosh,39.9214,65.9253,24.68,36,3,6.21,UZ,1749490777
338,neryungri,56.6709,124.6491,7.53,63,10,1.22,RU,1749490778
339,kendari,-3.945,122.4989,23.13,96,83,1.7,ID,1749490779
340,ishikawa,26.4233,127.8214,28.35,89,40,4.12,JP,1749490780
341,egilsstadir,65.2653,-14.3948,6.95,65,40,5.66,IS,1749490781
342,lata,40.1629,-8.3327,32.49,36,74,3.3,PT,1749490782
343,fort bragg,35.139,-79.006,31.06,53,75,5.66,US,1749490784
344,moroto,2.5345,34.6666,20.31,71,5,2.7,UG,1749490785
345,nizhneangarsk,55.7833,109.55,11.49,36,100,1.73,RU,1749490786
346,vallenar,-28.5708,-70.7581,28.07,7,99,1.61,CL,1749490787
347,amos,48.5669,-78.1162,14.96,97,100,1.94,CA,1749490788
348,amga,60.8953,131.9608,11.19,75,69,1.41,RU,1749490789
